engine	case	quantity	status	value	note
feos-pcsaft	acetone-ethanol@x1=0.5	tbub_c	ok	6.1635138308e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	acetone-ethanol@x1=0.5	y1	ok	7.1407295497e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	acetone-ethanol@x1=0.7	tbub_c	ok	5.8678112419e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	acetone-ethanol@x1=0.7	y1	ok	8.2547056439e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	acetone-ethanol@x1=0.9	tbub_c	ok	5.6678659940e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	acetone-ethanol@x1=0.9	y1	ok	9.2947096181e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	acetone-ethanol@flash	vapour_fraction	unavailable		No phase split according to stability analysis.
adapter	acetone-ethanol@x1=0.1	tbub_c	ok	7.2998403062e1	feos PC-SAFT (BRD-030 spike adapter)
adapter	acetone-ethanol@x1=0.3	tbub_c	ok	6.6036938974e1	feos PC-SAFT (BRD-030 spike adapter)
adapter	acetone-ethanol@x1=0.5	tbub_c	ok	6.1635138308e1	feos PC-SAFT (BRD-030 spike adapter)
adapter	acetone-ethanol@x1=0.7	tbub_c	ok	5.8678112419e1	feos PC-SAFT (BRD-030 spike adapter)
adapter	acetone-ethanol@x1=0.9	tbub_c	ok	5.6678659940e1	feos PC-SAFT (BRD-030 spike adapter)
kerotakis	methanol-ethanol@x1=0.1	tbub_c	ok	7.6085587927e1	Antoine+UNIFAC
kerotakis	methanol-ethanol@x1=0.1	y1	ok	1.7613771754e-1	Antoine+UNIFAC
kerotakis	methanol-ethanol@x1=0.3	tbub_c	ok	7.2369966002e1	Antoine+UNIFAC
kerotakis	methanol-ethanol@x1=0.3	y1	ok	4.4414139303e-1	Antoine+UNIFAC
kerotakis	methanol-ethanol@x1=0.5	tbub_c	ok	6.9449670701e1	Antoine+UNIFAC
kerotakis	methanol-ethanol@x1=0.5	y1	ok	6.3984981248e-1	Antoine+UNIFAC
kerotakis	methanol-ethanol@x1=0.7	tbub_c	ok	6.7139739939e1	Antoine+UNIFAC
kerotakis	methanol-ethanol@x1=0.7	y1	ok	7.9435137826e-1	Antoine+UNIFAC
